Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,65.1,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Jamaica,JAM,..,..,69.1,69,..,..,..,..,..,72.5,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Japan,JPN,55.9,..,..,..,52,54.3,..,..,..,..,..,..,..,..,54.7,39.8
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Jordan,JOR,..,..,55.8,..,..,..,..,57.1,..,59.3,..,..,61.2,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Kazakhstan,KAZ,..,..,..,..,..,..,50.7,..,..,..,..,51,..,..,..,55.7
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Kenya,KEN,..,..,..,39.3,..,..,..,..,..,45.5,..,..,..,..,58,66.3
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Kiribati,KIR,36.1,..,..,..,21.5,..,..,..,20,22.3,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,68.6,..,..,..,..,..,..,..,70.6,..,..,..,78.2,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,"Korea, Rep.",KOR,79.3,..,..,84.5,..,80.2,79.6,..,..,80,..,..,77.1,..,..,79.6
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Kyrgyz Republic,KGZ,..,..,..,..,..,..,47.8,..,..,..,..,..,36.3,..,42,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Lao PDR,LAO,32.2,..,..,..,..,38.4,..,..,..,..,..,..,49.8,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Lebanon,LBN,62.7,..,58,..,58,..,..,..,..,54.5,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Lesotho,LSO,30.4,40.6,38,..,37.3,..,..,..,..,47,..,50.7,..,..,60.2,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Liberia,LBR,10,..,..,..,..,..,..,11.4,..,..,..,..,..,20.2,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Libya,LBY,..,..,..,..,..,..,..,41.9,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Lithuania,LTU,..,..,..,..,..,..,62.9,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,"Macedonia, FYR",MKD,..,..,..,..,..,13.5,..,..,..,..,..,40.2,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Madagascar,MDG,18.8,..,..,..,27.1,..,..,..,..,39.9,..,..,..,39.8,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Malawi,MWI,30.6,..,..,..,32.5,..,41,..,..,..,46.1,..,..,..,58.6,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Malaysia,MYS,..,..,..,..,49,..,..,..,..,..,..,..,..,..,52.2,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Maldives,MDV,..,..,..,..,39,..,..,..,..,34.7,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Mali,MLI,..,8.1,..,..,..,..,8.2,..,..,..,9.8,..,..,10.3,..,15.6
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Malta,MLT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Marshall Islands,MHL,..,34,..,..,..,..,..,44.6,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Mauritania,MRT,..,8,..,..,..,..,..,9.3,..,..,..,11.4,..,..,..,17.8
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Mauritius,MUS,..,..,75.8,..,..,..,..,..,..,..,..,..,..,..,63.8,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Mexico,MEX,70,..,..,74.5,73,73.7,70.9,..,..,72.5,..,..,..,..,72.3,66.9
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,23,..,..,..,..,55,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Moldova,MDA,62.4,..,..,..,..,67.8,..,..,..,..,..,..,59.5,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Mongolia,MNG,67.4,..,..,69,..,66,..,..,55.2,..,54.9,..,..,..,54.6,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Montenegro,MNE,52.7,..,..,..,..,39.4,39.4,..,..,..,..,..,..,23.3,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Morocco,MAR,..,..,..,..,63,..,..,..,..,..,..,67.4,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Mozambique,MOZ,..,..,..,25.5,..,..,..,..,16.2,..,..,11.6,..,..,..,27.1
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Myanmar,MMR,..,37,..,34.3,..,..,..,41,..,..,46,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Namibia,NAM,43.7,..,..,..,..,..,..,55.1,..,..,..,..,..,56.1,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Nauru,NRU,..,..,..,..,..,..,..,35.6,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Nepal,NPL,37.3,39.3,..,..,38.3,..,48,..,..,..,..,49.7,..,..,49.6,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Netherlands,NLD,..,..,..,75,..,..,..,..,75,..,..,..,..,73,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Nicaragua,NIC,..,68.6,..,..,..,..,..,72.4,..,..,..,..,80.4,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Niger,NER,14,..,..,..,..,..,11.2,..,..,..,18,..,13.9,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Nigeria,NGA,..,..,..,12.6,..,..,..,14.7,14.6,..,..,14.1,13.5,15.1,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Norway,NOR,..,..,..,..,..,88.4,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Oman,OMN,31.7,..,..,..,..,..,..,..,24.4,..,..,..,..,..,29.7,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Pakistan,PAK,..,27.6,..,32.1,..,..,26,29.6,27,..,..,..,29,35.4,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Palau,PLW,17.2,..,..,32.8,..,..,..,21,..,..,22.26,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Panama,PAN,..,..,..,..,..,..,..,..,..,52.2,..,..,..,62.8,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Papua New Guinea,PNG,..,..,..,..,..,..,..,32.4,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Paraguay,PRY,..,..,..,..,72.8,..,..,..,79.4,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Peru,PER,68.9,..,..,..,70.5,..,71.3,..,72.4,73.2,74.4,75.4,75.5,74,74.6,74.6
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Philippines,PHL,47,49.5,48.8,48.9,49.3,49.3,50.6,..,50.7,..,..,48.9,..,55.1,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,50.6,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Portugal,PRT,..,..,..,..,..,..,86.8,..,..,..,..,..,..,..,73.9,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Puerto Rico,PRI,..,..,84.1,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..,37.5,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Romania,ROU,..,..,..,..,70.3,69.8,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Russian Federation,RUS,..,..,..,..,68.5,..,..,63.2,..,..,..,68,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Rwanda,RWA,13.2,..,..,..,..,17.4,..,..,36.4,..,51.6,..,..,..,..,53.2
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Samoa,WSM,..,..,..,..,..,..,..,..,..,28.7,..,..,..,..,26.9,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Sao Tome and Principe,STP,29.3,..,..,..,..,..,30.7,..,..,38.4,..,..,..,..,40.6,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Saudi Arabia,SAU,..,..,..,..,..,..,..,23.8,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Senegal,SEN,..,..,..,..,..,11.8,..,..,..,..,..,13.1,..,17.8,22.2,23.3
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Serbia,SRB,58.7,..,..,..,..,..,41.2,..,..,..,60.8,..,..,..,58.4,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Sierra Leone,SLE,4.3,..,..,..,..,5.3,..,..,8.2,..,11,..,..,16.6,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Solomon Islands,SLB,..,6.8,..,..,..,..,..,34.6,..,..,..,..,..,..,..,29.3
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Somalia,SOM,..,..,..,..,..,..,14.6,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,South Africa,ZAF,..,..,..,59.9,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,South Sudan,SSD,..,..,..,..,..,..,3.5,..,..,..,4,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Spain,ESP,..,..,..,..,..,..,65.7,..,..,..,..,..,..,..,72.7,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Sri Lanka,LKA,70,..,..,..,..,..,..,68.4,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,54,..,54,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..,55.5,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,St. Vincent and the Grenadines,VCT,..,..,..,..,..,48,48,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Sudan,SDN,..,..,..,..,..,..,9.5,..,..,..,9,..,..,..,12.2,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Suriname,SUR,42.1,..,..,..,..,..,45.6,..,..,..,47.6,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Eswatini,SWZ,27.7,..,40.1,..,..,..,..,50.6,..,..,65.2,..,..,..,66.1,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..,72.9,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Syrian Arab Republic,SYR,45.2999992371,46.6,..,..,..,..,58.3,..,..,..,53.9,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Tajikistan,TJK,33.9,..,..,25.3,24.6,37.9,28.5,37.1,..,..,..,..,27.9,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Tanzania,TZA,..,..,..,..,28.2,26.4,..,..,..,..,34.4,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Thailand,THA,79.2,77.8,..,..,..,71.5,71.5,..,..,79.6,..,..,79.3,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Timor-Leste,TLS,..,8,..,10,..,..,..,19.8,..,..,22.3,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Togo,TGO,25.7,..,..,..,..,..,16.8,..,..,..,15.2,..,..,..,19.9,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Tonga,TON,33,..,23,..,..,..,23.9,..,..,..,31.5,..,34.1,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Trinidad and Tobago,TTO,38.2,..,..,..,..,..,42.5,..,..,..,..,40.3,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Tunisia,TUN,65.5,62.6,..,..,..,..,60.2,..,..,..,..,..,62.5,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Turkey,TUR,..,..,..,71,..,..,..,..,73,73,..,..,..,73.5,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Turkmenistan,TKM,61.8,..,..,..,..,..,48,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Tuvalu,TUV,..,..,31.6,..,..,..,..,30.5,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Uganda,UGA,..,22.8,..,..,..,19.7,23.7,..,..,..,..,30,..,..,27.2,34.3
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Ukraine,UKR,71.6,..,..,..,..,65.6,..,66.7,..,..,..,..,65.4,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,United Kingdom,GBR,76,80,83,80,84,82,82,84,82,84,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,United States,USA,..,..,72.8,..,..,..,..,77.1,77.1,..,76.4,..,74.1,..,72.7,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Uruguay,URY,..,..,..,..,77,78,..,..,..,..,..,..,..,..,..,79.6
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Uzbekistan,UZB,67.2,..,67.7,..,..,..,64.9,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Vanuatu,VUT,..,..,..,..,..,..,..,38.4,..,..,..,..,..,49,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,75,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Vietnam,VNM,74.2,73.9,78.5,75.3,75.7,76.8,75.7,79,79.4,..,78,77.8,76.3,77.3,75.7,75.7
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Virgin Islands (U.S.),VIR,..,..,78.4,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,West Bank and Gaza,PSE,51.4,..,..,..,50.6,..,..,50.2,..,..,52.5,..,..,..,57.2,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,"Yemen, Rep.",YEM,..,..,..,23.1,..,..,27.7,..,..,..,..,..,..,33.5,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Zambia,ZMB,..,..,34.2,..,..,..,..,40.8,..,..,..,..,..,..,49,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Zimbabwe,ZWE,..,..,..,..,..,..,60.2,..,..,64.9,..,58.5,..,..,66.9,66.8
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Afghanistan,AFG,12.4,..,..,14.3,..,..,18.9,..,24,..,34.3,38.6,39.9,..,45.2,50.5
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Albania,ALB,99.1,99,98,98.8,99.3,99.8,99,..,..,99.3,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Algeria,DZA,92.6,..,95.9,..,..,..,95.2,..,..,..,..,..,96.6,96.6,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,American Samoa,ASM,..,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Angola,AGO,..,44.7,..,..,..,..,..,47.3,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Antigua and Barbuda,ATG,99.9,100,99,99,100,99.9,99.9,100,100,100,100,..,100,100,100,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Argentina,ARG,99.1,98.4,98.9,98.7,99.1,99.1,99.4,99.4,94.8,97.9,95,97.1,98.2,97,99.6,99.6
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Armenia,ARM,96.8,98.4,98.8,99.2,99.5,97.8,99.7,99.9,99.9,100,99.5,100,100,100,100,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Aruba,ABW,..,..,96,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Australia,AUS,99.3,99.3,99.3,99.3,99.3,99.4,99.3,99.2,99.1,99.1,99.1,99.1,..,99.3,99.7,99.7
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Austria,AUT,98.3,98.3,98.4,98.4,98.4,98.6,98.6,98.5,98.6,98.6,98.5,98.6,98.5,98.5,98.5,98.5
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Azerbaijan,AZE,80.7,88,94,95.8,95.9,94.4,88.6,93,98,99.8,99.4,97.2,99.8,99.9,99.9,99.8
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Bahamas, The",BHS,99,..,99,99,98,..,99,99,99,..,99,99,..,98,99.6,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bahrain,BHR,97.7,97.5,97.6,97.8,97.7,97.5,97.5,97.4,97.5,99.4,99.3,99.6,99.8,99.8,99.8,99.7
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bangladesh,BGD,12.1,12,..,13.9,13.2,..,20.1,18,..,24.4,26.5,31.7,..,36.5,42.1,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Barbados,BRB,98,..,100,100,100,100,100,100,100,..,..,100,98.9,98.6,99.7,99
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Belarus,BLR,99.9,99.9,99.9,99.9,99.9,100,99.9,99.9,99.9,99.9,99.9,99.8,100,99.8,99.8,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Belize,BLZ,100,..,97,..,87.8,89.3,95.8,94.6,94.9,93.5,94,96.2,..,94.2,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Benin,BEN,..,65.5,..,..,..,75,74,..,..,..,..,..,80.9,..,77.2,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bhutan,BTN,23.7,..,..,56.1,..,52.3,57.1,71.4,66.3,66,64.5,70,74.6,89,89,89
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bolivia,BOL,67.3,..,65.1,60.8,..,..,..,..,71.1,..,..,84,84.8,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bosnia and Herzegovina,BIH,98.9,99.9,99.9,99.9,99.9,99.9,99.4,99.9,99.9,99.9,99.9,99.9,99.9,..,99.9,99.9
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Botswana,BWA,98.5,92,96.5,96.1,97.3,94,99.3,94.6,98.3,99.5,99.1,99.8,99.8,99.9,99.5,99.7
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Brazil,BRA,98.6,98.3,98.5,98.4,98.6,98.6,97,98.6,98.8,98.9,98.9,99,99,99.1,99.1,99.1
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,British Virgin Islands,VGB,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Brunei Darussalam,BRN,99.2,99.7,99.4,99.4,99.4,99.6,99.6,99.9,99.7,99.8,99.8,99.6,99.8,99.7,99.9,100
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bulgaria,BGR,99.8,98.9,99.2,99.2,99.4,99.4,99.4,99.6,99.6,99.6,99.5,..,..,99.7,99.7,99.8
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Burkina Faso,BFA,..,..,..,37.8,..,..,53.5,..,..,..,65.9,..,..,..,..,79.8
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Burundi,BDI,25.2,..,..,..,..,31.8,..,..,..,..,60.3,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Cabo Verde,CPV,..,..,..,..,..,77.5,76.4,74.4,74.6,75.6,98.5,98.7,..,92.3,95.6,91.4
